IncomeRecords := { 's-1' .. 's-50' };
PopulationRecords := { 'd-1' .. 'd-100' };

COMPOSITE TABLE:
   a     GrossIncome  Members  IncomeSources  Interest  NumberOfFamilies
!--------
  s-1       4500         1           1          4000           44
  s-2       4500         4           1          8000           18
  s-3       1500         7           2         10000           24
  s-4       2000         8           2          8500           48
  s-5       1000         5           2          9500           45
  s-6       1000         2           2          4500           20
  s-7       4500         3           1          500            49
  s-8       2000         7           1          5000           42
  s-9       2500         6           1          500            17
  s-10      1000         3           1          2500           43
  s-11      1000         7           1          9000           56
  s-12      2000         5           2          2500           54
  s-13      2000         6           2          3000           47
  s-14      4000         1           2          6000           55
  s-15      1500         4           2          7000           49
  s-16       500         5           2          4500           29
  s-17       500         6           2          7500           40
  s-18      4000         8           1          2500           25
  s-19       500         5           1          7500           36
  s-20      3500         6           2          4500           16
  s-21      4000         6           2          5000           46
  s-22      3000         2           1          3000           43
  s-23      1500         3           1          6500           33
  s-24      2000         3           2          9500           51
  s-25      4500         7           1          4000           25
  s-26      1500         6           1          8500           39
  s-27      2500         4           1          7000           28
  s-28      5000         7           1          6000           23
  s-29      3000         7           2          7000           23
  s-30      5000         1           2          9500           24
  s-31      5000         7           2          2500           22
  s-32      1500         4           1          3000           15
  s-33      4000         3           2          5500           53
  s-34      1000         6           2          9500           57
  s-35      5000         4           1          8000           52
  s-36      4500         4           1          3000           18
  s-37      5000         4           1          4000           50
  s-38      1500         5           2         10000           38
  s-39      5000         6           2          3000           44
  s-40      2000         3           2          4000           18
  s-41      3500         8           2         10000           42
  s-42      2500         7           2          1500           18
  s-43      5000         6           2          1500           21
  s-44      5000         3           2          5500           32
  s-45      1500         5           2          5000           44
  s-46      3500         3           2          2000           30
  s-47      2000         2           2          7500           49
  s-48      1000         7           2         10000           17
  s-49      4000         4           2          8000           56
  s-50      5000         4           2          1500           55
;

COMPOSITE TABLE:
   a     GrossIncome  Members  AgeHead  YearsEducation  Gender  NumberOfFamilies
!--------
  d-1       2000         1       50           18          2            28
  d-2       4000         7       40           18          2            18
  d-3       3000         4       30           6           1            19
  d-4       5000         7       50           18          1            10
  d-5       2000         1       30           12          2            15
  d-6       4500         2       50           6           1            13
  d-7       5000         3       40           12          1            25
  d-8       2500         5       40           6           2            28
  d-9       1500         3       50           18          1            9
  d-10      2500         2       50           6           2            18
  d-11      2000         3       30           6           1            27
  d-12      1500         7       40           6           2            24
  d-13      4500         5       30           12          1            24
  d-14      2000         4       50           6           2            14
  d-15      3000         5       30           18          1            28
  d-16      4500         6       50           6           2            22
  d-17      4500         6       30           18          2            16
  d-18      4000         7       50           12          2            24
  d-19      1000         6       30           18          1            19
  d-20      4000         2       40           12          2            18
  d-21      1500         2       50           6           2            13
  d-22      3000         1       40           12          2            18
  d-23      1000         3       50           18          1            15
  d-24      1500         3       30           18          1            25
  d-25       500         6       50           12          1            20
  d-26      3000         7       40           18          1            28
  d-27       500         1       30           18          1            11
  d-28      1500         3       30           6           1            25
  d-29      2500         5       40           18          1            16
  d-30      4500         4       30           6           1            25
  d-31      4000         1       30           12          2            28
  d-32      1000         5       50           12          2            21
  d-33      1500         7       40           18          1            10
  d-34      2500         4       40           12          2            27
  d-35      4000         5       30           6           1            16
  d-36      3500         2       50           18          2            15
  d-37      3000         1       30           18          2            20
  d-38       500         2       30           18          2            26
  d-39      4000         7       40           18          2            16
  d-40      3500         1       40           12          2            10
  d-41      2500         8       30           12          2            26
  d-42      3500         6       30           12          1            13
  d-43      1000         1       40           18          1            17
  d-44      5000         6       50           18          1            13
  d-45      1000         8       30           18          1            10
  d-46      1000         3       50           18          2            11
  d-47      3500         3       30           6           1            12
  d-48      3000         8       30           12          1            8
  d-49       500         6       30           12          1            9
  d-50      1500         7       30           6           1            16
  d-51      2500         7       50           6           1            25
  d-52      1000         7       40           12          1            20
  d-53      4500         4       50           6           1            17
  d-54      2500         4       50           18          1            26
  d-55      2500         6       30           18          2            10
  d-56      5000         6       30           6           2            28
  d-57      2000         6       30           18          2            22
  d-58      2000         3       30           6           1            13
  d-59       500         7       30           12          2            15
  d-60      3500         1       30           18          1            12
  d-61      5000         5       40           18          1            14
  d-62      2500         3       40           18          2            23
  d-63      2500         2       30           18          1            20
  d-64      1000         6       30           18          2            12
  d-65      4500         4       30           18          1            26
  d-66       500         1       40           18          2            18
  d-67      2500         4       30           6           2            8
  d-68      1500         3       50           12          1            16
  d-69      4500         4       30           12          2            25
  d-70       500         4       50           18          1            12
  d-71      2000         6       50           12          1            25
  d-72      3000         7       40           18          1            21
  d-73      4500         2       30           18          2            22
  d-74       500         4       50           12          1            19
  d-75       500         8       30           6           2            11
  d-76      3500         3       50           18          2            20
  d-77      2000         1       30           18          1            25
  d-78      1000         8       50           12          2            27
  d-79      4500         3       40           6           2            8
  d-80      2000         3       50           6           1            8
  d-81      2500         7       50           6           2            21
  d-82       500         3       40           18          1            20
  d-83      5000         2       50           18          2            12
  d-84      4000         7       50           6           1            9
  d-85      3500         8       40           6           1            24
  d-86      2000         4       50           6           2            24
  d-87       500         6       40           12          1            16
  d-88       500         3       50           12          2            24
  d-89       500         4       50           12          2            27
  d-90      3000         2       40           6           1            16
  d-91      4500         1       30           12          1            16
  d-92      3500         6       50           12          2            16
  d-93      1500         7       50           12          2            15
  d-94      1500         4       50           12          2            16
  d-95      3500         8       50           18          2            17
  d-96      5000         5       50           18          2            16
  d-97      2000         1       30           6           1            15
  d-98      1500         7       40           12          2            17
  d-99      5000         3       30           6           1            19
  d-100     5000         7       30           18          2            16
;


