NodeSet := data{ n1 .. n58  };

Composite table:
   i       j         ArcFixedCost
! ---------------------------------
   n1      n2            2635
   n2      n1            2635
   n1      n3            2713
   n3      n1            2713
   n1      n4            2437
   n4      n1            2437
   n1      n5            1600
   n5      n1            1600
   n1      n6            2845
   n6      n1            2845
   n1      n7            6002
   n7      n1            6002
   n1      n8            1743
   n8      n1            1743
   n1      n9             594
   n9      n1             594
   n1      n10           2182
   n10     n1            2182
   n1      n11           2906
   n11     n1            2906
   n1      n12           1658
   n12     n1            1658
   n1      n13            464
   n13     n1             464
   n1      n14           3334
   n14     n1            3334
   n1      n15           3987
   n15     n1            3987
   n1      n16           2870
   n16     n1            2870
   n1      n17           2601
   n17     n1            2601
   n1      n18            330
   n18     n1             330
   n1      n19           3049
   n19     n1            3049
   n1      n20           1302
   n20     n1            1302
   n1      n21           3399
   n21     n1            3399
   n1      n22           1946
   n22     n1            1946
   n1      n23           1278
   n23     n1            1278
   n1      n24            669
   n24     n1             669
   n1      n25            627
   n25     n1             627
   n1      n26           2878
   n26     n1            2878
   n1      n27           1737
   n27     n1            1737
   n1      n28           3124
   n28     n1            3124
   n1      n29           2878
   n29     n1            2878
   n1      n30            307
   n30     n1             307
   n1      n31           5217
   n31     n1            5217
   n1      n32            799
   n32     n1             799
   n1      n33           3305
   n33     n1            3305
   n1      n34           3716
   n34     n1            3716
   n1      n35           2251
   n35     n1            2251
   n1      n36           2878
   n36     n1            2878
   n1      n37           3467
   n37     n1            3467
   n1      n38           4316
   n38     n1            4316
   n1      n39           2963
   n39     n1            2963
   n1      n40            512
   n40     n1             512
   n1      n41           2515
   n41     n1            2515
   n1      n42           4850
   n42     n1            4850
   n1      n43           1937
   n43     n1            1937
   n1      n44            367
   n44     n1             367
   n1      n45           3601
   n45     n1            3601
   n1      n46           3936
   n46     n1            3936
   n1      n47           2430
   n47     n1            2430
   n1      n48           2691
   n48     n1            2691
   n1      n49           2087
   n49     n1            2087
   n1      n50           1861
   n50     n1            1861
   n1      n51           2358
   n51     n1            2358
   n1      n52           2263
   n52     n1            2263
   n1      n53           1425
   n53     n1            1425
   n1      n54           2266
   n54     n1            2266
   n1      n55           2166
   n55     n1            2166
   n1      n56           3870
   n56     n1            3870
   n1      n57           1417
   n57     n1            1417
   n1      n58            739
   n58     n1             739
   n2      n3             314
   n3      n2             314
   n2      n4            2636
   n4      n2            2636
   n2      n5             666
   n5      n2             666
   n2      n6            1096
   n6      n2            1096
   n2      n7            4645
   n7      n2            4645
   n2      n8             693
   n8      n2             693
   n2      n9            2889
   n9      n2            2889
   n2      n10            287
   n10     n2             287
   n2      n11            772
   n11     n2             772
   n2      n12           1135
   n12     n2            1135
   n2      n13           2875
   n13     n2            2875
   n2      n14           1424
   n14     n2            1424
   n2      n15           2185
   n15     n2            2185
   n2      n16           1193
   n16     n2            1193
   n2      n17            846
   n17     n2             846
   n2      n18           2142
   n18     n2            2142
   n2      n19           1127
   n19     n2            1127
   n2      n20           3104
   n20     n2            3104
   n2      n21           1484
   n21     n2            1484
   n2      n22            490
   n22     n2             490
   n2      n23            990
   n23     n2             990
   n2      n24           1950
   n24     n2            1950
   n2      n25           2855
   n25     n2            2855
   n2      n26            975
   n26     n2             975
   n2      n27            926
   n27     n2             926
   n2      n28           1214
   n28     n2            1214
   n2      n29            599
   n29     n2             599
   n2      n30           2535
   n30     n2            2535
   n2      n31           3860
   n31     n2            3860
   n2      n32           3027
   n32     n2            3027
   n2      n33           1407
   n33     n2            1407
   n2      n34           1811
   n34     n2            1811
   n2      n35            359
   n35     n2             359
   n2      n36           1060
   n36     n2            1060
   n2      n37           1557
   n37     n2            1557
   n2      n38           2959
   n38     n2            2959
   n2      n39            394
   n39     n2             394
   n2      n40           2740
   n40     n2            2740
   n2      n41             98
   n41     n2              98
   n2      n42           3538
   n42     n2            3538
   n2      n43            856
   n43     n2             856
   n2      n44           2026
   n44     n2            2026
   n2      n45           1710
   n45     n2            1710
   n2      n46           1733
   n46     n2            1733
   n2      n47            508
   n47     n2             508
   n2      n48            194
   n48     n2             194
   n2      n49            532
   n49     n2             532
   n2      n50           2906
   n50     n2            2906
   n2      n51            435
   n51     n2             435
   n2      n52            335
   n52     n2             335
   n2      n53           2470
   n53     n2            2470
   n2      n54            137
   n54     n2             137
   n2      n55            234
   n55     n2             234
   n2      n56           2072
   n56     n2            2072
   n2      n57           1196
   n57     n2            1196
   n2      n58           1517
   n58     n2            1517
   n3      n4            2730
   n4      n3            2730
   n3      n5             706
   n5      n3             706
   n3      n6             791
   n6      n3             791
   n3      n7            4588
   n7      n3            4588
   n3      n8             922
   n8      n3             922
   n3      n9            2991
   n9      n3            2991
   n3      n10            217
   n10     n3             217
   n3      n11            760
   n11     n3             760
   n3      n12           1050
   n12     n3            1050
   n3      n13           2915
   n13     n3            2915
   n3      n14           1119
   n14     n3            1119
   n3      n15           1776
   n15     n3            1776
   n3      n16           1451
   n16     n3            1451
   n3      n17           5410
   n17     n3            5410
   n3      n18           2182
   n18     n3            2182
   n3      n19            846
   n19     n3             846
   n3      n20           3333
   n20     n3            3333
   n3      n21            578
   n21     n3             578
   n3      n22            721
   n22     n3             721
   n3      n23           1030
   n23     n3            1030
   n3      n24           1990
   n24     n3            1990
   n3      n25           2895
   n25     n3            2895
   n3      n26            670
   n26     n3             670
   n3      n27            835
   n27     n3             835
   n3      n28            909
   n28     n3             909
   n3      n29            287
   n29     n3             287
   n3      n30           2575
   n30     n3            2575
   n3      n31           3803
   n31     n3            3803
   n3      n32           3067
   n32     n3            3067
   n3      n33           1102
   n33     n3            1102
   n3      n34           1505
   n34     n3            1505
   n3      n35            158
   n35     n3             158
   n3      n36            439
   n36     n3             439
   n3      n37           1248
   n37     n3            1248
   n3      n38           2902
   n38     n3            2902
   n3      n39            287
   n39     n3             287
   n3      n40           2780
   n40     n3            2780
   n3      n41            276
   n41     n3             276
   n3      n42           3436
   n42     n3            3436
   n3      n43            771
   n43     n3             771
   n3      n44           2066
   n44     n3            2066
   n3      n45           1395
   n45     n3            1395
   n3      n46           1740
   n46     n3            1740
   n3      n47            407
   n47     n3             407
   n3      n48            279
   n48     n3             279
   n3      n49            334
   n49     n3             334
   n3      n50           3135
   n50     n3            3135
   n3      n51            337
   n51     n3             337
   n3      n52            235
   n52     n3             235
   n3      n53           2699
   n53     n3            2699
   n3      n54            451
   n54     n3             451
   n3      n55            546
   n55     n3             546
   n3      n56           1882
   n56     n3            1882
   n3      n57           2699
   n57     n3            2699
   n3      n58           1557
   n58     n3            1557
   n4      n5            2824
   n5      n4            2824
   n4      n6            3457
   n6      n4            3457
   n4      n7            6083
   n7      n4            6083
   n4      n8            2120
   n8      n4            2120
   n4      n9            2040
   n9      n4            2040
   n4      n10           2844
   n10     n4            2844
   n4      n11           2973
   n11     n4            2973
   n4      n12           3937
   n12     n4            3937
   n4      n13           1958
   n13     n4            1958
   n4      n14           3710
   n14     n4            3710
   n4      n15           4363
   n15     n4            4363
   n4      n16           2941
   n16     n4            2941
   n4      n17           3207
   n17     n4            3207
   n4      n18           1991
   n18     n4            1991
   n4      n19           3512
   n19     n4            3512
   n4      n20           1571
   n20     n4            1571
   n4      n21           3392
   n21     n4            3392
   n4      n22           2013
   n22     n4            2013
   n4      n23           2922
   n23     n4            2922
   n4      n24           2368
   n24     n4            2368
   n4      n25           2170
   n25     n4            2170
   n4      n26           3336
   n26     n4            3336
   n4      n27           3503
   n27     n4            3503
   n4      n28           3500
   n28     n4            3500
   n4      n29           2884
   n29     n4            2884
   n4      n30           2109
   n30     n4            2109
   n4      n31           5298
   n31     n4            5298
   n4      n32           2108
   n32     n4            2108
   n4      n33           3643
   n33     n4            3643
   n4      n34           4092
   n34     n4            4092
   n4      n35           2934
   n35     n4            2934
   n4      n36           3093
   n36     n4            3093
   n4      n37           3843
   n37     n4            3843
   n4      n38           4391
   n38     n4            4391
   n4      n39           2763
   n39     n4            2763
   n4      n40           2083
   n40     n4            2083
   n4      n41           2543
   n41     n4            2543
   n4      n42           4925
   n42     n4            4925
   n4      n43           3236
   n43     n4            3236
   n4      n44           2107
   n44     n4            2107
   n4      n45           3939
   n45     n4            3939
   n4      n46           4274
   n46     n4            4274
   n4      n47           3008
   n47     n4            3008
   n4      n48           2522
   n48     n4            2522
   n4      n49           3006
   n49     n4            3006
   n4      n50            806
   n50     n4             806
   n4      n51           2936
   n51     n4            2936
   n4      n52           3026
   n52     n4            3026
   n4      n53            947
   n53     n4             947
   n4      n54           2464
   n54     n4            2464
   n4      n55           2364
   n55     n4            2364
   n4      n56           4208
   n56     n4            4208
   n4      n57           3116
   n57     n4            3116
   n4      n58           2390
   n58     n4            2390
   n5      n6            1247
   n6      n5            1247
   n5      n7            4746
   n7      n5            4746
   n5      n8             716
   n8      n5             716
   n5      n9            2223
   n9      n5            2223
   n5      n10            584
   n10     n5             584
   n5      n11           1442
   n11     n5            1442
   n5      n12            694
   n12     n5             694
   n5      n13           2089
   n13     n5            2089
   n5      n14           1577
   n14     n5            1577
   n5      n15           2230
   n15     n5            2230
   n5      n16           1609
   n16     n5            1609
   n5      n17           1003
   n17     n5            1003
   n5      n18           1260
   n18     n5            1260
   n5      n19           1297
   n19     n5            1297
   n5      n20           2535
   n20     n5            2535
   n5      n21           1511
   n21     n5            1511
   n5      n22            908
   n22     n5             908
   n5      n23            324
   n23     n5             324
   n5      n24           1116
   n24     n5            1116
   n5      n25           2183
   n25     n5            2183
   n5      n26           1126
   n26     n5            1126
   n5      n27            260
   n27     n5             260
   n5      n28           1367
   n28     n5            1367
   n5      n29            996
   n29     n5             996
   n5      n30           1863
   n30     n5            1863
   n5      n31           3961
   n31     n5            3961
   n5      n32           2355
   n32     n5            2355
   n5      n33           1565
   n33     n5            1565
   n5      n34           1959
   n34     n5            1959
   n5      n35            660
   n35     n5             660
   n5      n36           1106
   n36     n5            1106
   n5      n37           1710
   n37     n5            1710
   n5      n38           3060
   n38     n5            3060
   n5      n39            991
   n39     n5             991
   n5      n40           2068
   n40     n5            2068
   n5      n41            523
   n41     n5             523
   n5      n42           3594
   n42     n5            3594
   n5      n43            434
   n43     n5             434
   n5      n44           1354
   n44     n5            1354
   n5      n45           1861
   n45     n5            1861
   n5      n46           2196
   n46     n5            2196
   n5      n47            658
   n47     n5             658
   n5      n48            750
   n48     n5             750
   n5      n49            563
   n49     n5             563
   n5      n50           2929
   n50     n5            2929
   n5      n51            586
   n51     n5             586
   n5      n52            668
   n52     n5             668
   n5      n53           2493
   n53     n5            2493
   n5      n54            494
   n54     n5             494
   n5      n55            557
   n55     n5             557
   n5      n56           2130
   n56     n5            2130
   n5      n57            524
   n57     n5             524
   n5      n58            851
   n58     n5             851
   n6      n7            5126
   n7      n6            5126
   n6      n8            1653
   n8      n6            1653
   n6      n9            3545
   n9      n6            3545
   n6      n10            708
   n10     n6             708
   n6      n11           1298
   n11     n6            1298
   n6      n12           1342
   n12     n6            1342
   n6      n13           3451
   n13     n6            3451
   n6      n14            347
   n14     n6             347
   n6      n15           1126
   n15     n6            1126
   n6      n16           1989
   n16     n6            1989
   n6      n17            250
   n17     n6             250
   n6      n18           2736
   n18     n6            2736
   n6      n19            138
   n19     n6             138
   n6      n20           3786
   n20     n6            3786
   n6      n21            888
   n21     n6             888
   n6      n22           1452
   n22     n6            1452
   n6      n23           1671
   n23     n6            1671
   n6      n24           2336
   n24     n6            2336
   n6      n25           3431
   n25     n6            3431
   n6      n26            124
   n26     n6             124
   n6      n27           1165
   n27     n6            1165
   n6      n28            189
   n28     n6             189
   n6      n29            640
   n29     n6             640
   n6      n30           3110
   n30     n6            3110
   n6      n31           4341
   n31     n6            4341
   n6      n32           3603
   n32     n6            3603
   n6      n33            489
   n33     n6             489
   n6      n34            855
   n34     n6             855
   n6      n35            730
   n35     n6             730
   n6      n36            364
   n36     n6             364
   n6      n37            598
   n37     n6             598
   n6      n38           3440
   n38     n6            3440
   n6      n39            841
   n39     n6             841
   n6      n40           3316
   n40     n6            3316
   n6      n41            919
   n41     n6             919
   n6      n42           3974
   n42     n6            3974
   n6      n43           1063
   n43     n6            1063
   n6      n44           2620
   n44     n6            2620
   n6      n45            940
   n45     n6             940
   n6      n46           1090
   n46     n6            1090
   n6      n47            722
   n47     n6             722
   n6      n48            921
   n48     n6             921
   n6      n49            761
   n49     n6             761
   n6      n50           3866
   n50     n6            3866
   n6      n51            652
   n51     n6             652
   n6      n52            754
   n52     n6             754
   n6      n53           3430
   n53     n6            3430
   n6      n54           1096
   n54     n6            1096
   n6      n55           1191
   n55     n6            1191
   n6      n56           1232
   n56     n6            1232
   n6      n57           1582
   n57     n6            1582
   n6      n58           2098
   n58     n6            2098
   n7      n8            4267
   n8      n7            4267
   n7      n9            6553
   n9      n7            6553
   n7      n10           4826
   n10     n7            4826
   n7      n11           3830
   n11     n7            3830
   n7      n12           5951
   n12     n7            5951
   n7      n13           6417
   n13     n7            6417
   n7      n14           5423
