NodeSet := data { n1 .. n52 };

Composite table:
   i       j         ArcFixedCost
! ---------------------------------
   n1      n2  	          167
   n2      n1             167
   n1      n3              70
   n3      n1              70
   n1      n4              99
   n4      n1              99
   n1      n5              73
   n5      n1              73
   n1      n6              82
   n6      n1              82
   n1      n7             160
   n7      n1             160
   n1      n8             107
   n8      n1             107
   n1      n9             150
   n9      n1             150
   n1      n10            140
   n10     n1             140
   n1      n11            260
   n11     n1             260
   n1      n12            164
   n12     n1             164
   n1      n13            244
   n13     n1             244
   n1      n14            280
   n14     n1             280
   n1      n15             75
   n15     n1              75
   n1      n16             65
   n16     n1              65
   n1      n17            107
   n17     n1             107
   n1      n18             40
   n18     n1              40
   n1      n19             76
   n19     n1              76
   n1      n20             53
   n20     n1              53
   n1      n21             72
   n21     n1              72
   n1      n22             12
   n22     n1              12
   n1      n23             45
   n23     n1              45
   n1      n24             69
   n24     n1              69
   n1      n25            103
   n25     n1             103
   n1      n26            182
   n26     n1             182
   n1      n27            200
   n27     n1             200
   n1      n28            177
   n28     n1             177
   n1      n29            102
   n29     n1             102
   n1      n30             90
   n30     n1              90
   n1      n31             37
   n31     n1              37
   n1      n32             23
   n32     n1              23
   n1      n33            207
   n33     n1             207
   n1      n34             34
   n34     n1              34
   n1      n35             30
   n35     n1              30
   n1      n36             31
   n36     n1              31
   n1      n37             52
   n37     n1              52
   n1      n38             60
   n38     n1              60
   n1      n39             42
   n39     n1              42
   n1      n40             52
   n40     n1              52
   n1      n41             99
   n41     n1              99
   n1      n42            141
   n42     n1             141
   n1      n43            116
   n43     n1             116
   n1      n44             39
   n44     n1              39
   n1      n45             60
   n45     n1              60
   n1      n46             70
   n46     n1              70
   n1      n47            198
   n47     n1             198
   n1      n48             67
   n48     n1              67
   n1      n49             16
   n49     n1              16
   n1      n50             54
   n50     n1              54
   n1      n51            197
   n51     n1             197
   n1      n52            305
   n52     n1             305
   n2      n3             162
   n3      n2             162
   n2      n4             262
   n4      n2             262
   n2      n5             236
   n5      n2             236
   n2      n6             245
   n6      n2             245
   n2      n7              11
   n7      n2              11
   n2      n8             239
   n8      n2             239
   n2      n9             284
   n9      n2             284
   n2      n10            283
   n10     n2             283
   n2      n11            410
   n11     n2             410
   n2      n12            315
   n12     n2             315
   n2      n13            360
   n13     n2             360
   n2      n14            379
   n14     n2             379
   n2      n15            239
   n15     n2             239
   n2      n16            181
   n16     n2             181
   n2      n17            124
   n17     n2             124
   n2      n18            149
   n18     n2             149
   n2      n19            211
   n19     n2             211
   n2      n20            141
   n20     n2             141
   n2      n21             98
   n21     n2              98
   n2      n22            159
   n22     n2             159
   n2      n23            127
   n23     n2             127
   n2      n24            230
   n24     n2             230
   n2      n25            257
   n25     n2             257
   n2      n26            298
   n26     n2             298
   n2      n27            325
   n27     n2             325
   n2      n28            311
   n28     n2             311
   n2      n29            159
   n29     n2             159
   n2      n30             98
   n30     n2              98
   n2      n31            135
   n31     n2             135
   n2      n32            182
   n32     n2             182
   n2      n33            372
   n33     n2             372
   n2      n34            196
   n34     n2             196
   n2      n35            194
   n35     n2             194
   n2      n36            196
   n36     n2             196
   n2      n37            214
   n37     n2             214
   n2      n38            224
   n38     n2             224
   n2      n39            207
   n39     n2             207
   n2      n40            217
   n40     n2             217
   n2      n41            224
   n41     n2             224
   n2      n42             26
   n42     n2              26
   n2      n43            281
   n43     n2             281
   n2      n44            186
   n44     n2             186
   n2      n45            206
   n45     n2             206
   n2      n46            215
   n46     n2             215
   n2      n47            288
   n47     n2             288
   n2      n48            228
   n48     n2             228
   n2      n49            182
   n49     n2             182
   n2      n50            149
   n50     n2             149
   n2      n51            355
   n51     n2             355
   n2      n52            429
   n52     n2             429
   n3      n4             151
   n4      n3             151
   n3      n5             127
   n5      n3             127
   n3      n6             136
   n6      n3             136
   n3      n7             153
   n7      n3             153
   n3      n8              77
   n8      n3              77
   n3      n9             121
   n9      n3             121
   n3      n10            122
   n10     n3             122
   n3      n11            317
   n11     n3             317
   n3      n12            223
   n12     n3             223
   n3      n13            312
   n13     n3             312
   n3      n14            350
   n14     n3             350
   n3      n15            126
   n15     n3             126
   n3      n16            134
   n16     n3             134
   n3      n17             54
   n17     n3              54
   n3      n18             34
   n18     n3              34
   n3      n19             52
   n19     n3              52
   n3      n20            110
   n20     n3             110
   n3      n21             72
   n21     n3              72
   n3      n22             60
   n22     n3              60
   n3      n23             90
   n23     n3              90
   n3      n24            126
   n24     n3             126
   n3      n25            163
   n25     n3             163
   n3      n26            251
   n26     n3             251
   n3      n27            267
   n27     n3             267
   n3      n28            243
   n28     n3             243
   n3      n29            163
   n29     n3             163
   n3      n30            126
   n30     n3             126
   n3      n31             52
   n31     n3              52
   n3      n32             61
   n32     n3              61
   n3      n33            226
   n33     n3             226
   n3      n34             98
   n34     n3              98
   n3      n35             93
   n35     n3              93
   n3      n36             92
   n36     n3              92
   n3      n37            112
   n37     n3             112
   n3      n38            116
   n38     n3             116
   n3      n39             98
   n39     n3              98
   n3      n40            107
   n40     n3             107
   n3      n41             62
   n41     n3              62
   n3      n42            138
   n42     n3             138
   n3      n43            139
   n43     n3             139
   n3      n44            109
   n44     n3             109
   n3      n45             55
   n45     n3              55
   n3      n46            138
   n46     n3             138
   n3      n47            268
   n47     n3             268
   n3      n48            126
   n48     n3             126
   n3      n49             72
   n49     n3              72
   n3      n50            116
   n50     n3             116
   n3      n51            249
   n51     n3             249
   n3      n52            371
   n52     n3             371
   n4      n5              26
