   Values := data table 
              'Total Cost'        'Staff Cost'    'Non-staff Cost'      'Age of Store'         Competition  'Customer Service'
     !  ------------------  ------------------  ------------------  ------------------  ------------------  ------------------
DMU-01                1310                 238                1072                  18                  11                   8
DMU-02                2091                 459                1632                  46                  12                   8
DMU-03                 930                 154                 776                  36                   9                   5
DMU-04                3591                 795                2796                  34                   9                   7
DMU-05                2729                 571                2158                  35                  13                   9
DMU-06                2030                 497                1533                  57                   7                   6
DMU-07                3247                 558                2689                  36                   5                   9
DMU-08                2501                 571                1930                  40                  12                   7
DMU-09                2299                 407                1892                  17                   8                   8
DMU-10                2413                 306                2107                  23                  16                   5
DMU-11                1450                 458                 992                  49                  18                  10
DMU-12                2758                 494                2264                  35                   9                   8
DMU-13                1857                 360                1497                  59                  25                   5
DMU-14                3195                 618                2577                  51                   9                   8
DMU-15                3505                 759                2746                  38                  12                   9
DMU-16                1408                 313                1095                  24                   9                   8
DMU-17                1127                 253                 874                  17                   5                   7
DMU-18                1637                 340                1297                  21                  13                   7
DMU-19                2305                 551                1754                  27                   7                   6
DMU-20                1781                 303                1478                  34                  29                   4
DMU-21                3122                 642                2480                  26                   5                  10
DMU-22                2597                 465                2132                  20                  11                   6
DMU-23                1817                 335                1482                  28                   4                   9
DMU-24                3483                 825                2658                  53                  11                   6
DMU-25                1954                 424                1530                  11                  15                   3
DMU-26                1120                 159                 961                   4                   5                   6
DMU-27                1408                 248                1160                  36                   7                   3
DMU-28                3420                 672                2748                  44                   7                   9
DMU-29                2242                 364                1878                  18                  11                   5
DMU-30                2643                 490                2153                  27                   6                   7

     +             Revenue
     !  ------------------
DMU-01                1419
DMU-02                3064
DMU-03                 987
DMU-04                3603
DMU-05                2742
DMU-06                2536
DMU-07                4320
DMU-08                3495
DMU-09                2461
DMU-10                1851
DMU-11                1935
DMU-12                3558
DMU-13                2088
DMU-14                3963
DMU-15                3918
DMU-16                1693
DMU-17                1196
DMU-18                1945
DMU-19                3207
DMU-20                1622
DMU-21                2334
DMU-22                1387
DMU-23                1969
DMU-24                3422
DMU-25                1189
DMU-26                 810
DMU-27                1081
DMU-28                3088
DMU-29                1796
DMU-30                3243
    ;
